"SplitBy,TRUE,Venue,Venue_Sort,entityKey,GM,Tckl,Tackle%,Clrnce,Int,ShtBlk,Duels,Duel%,Aerials,Aerial%,Recovery,ErrShot,ErrGoal,CrossBlkd,ShotsAg,SOGAg,splitByName,xGCrnrs,Corners,GoalCrnrs,TIRO_LIBRE,Goles de Estrategia,League,ContractEnd,Pie Preferido,Altura,Distancia Total/90,Acc. Altas/90,Distancia SprintP90,Distancia Alta IntensidadP90,Marking de Rivales sin BalonP90,Marking Rivales con BalonP90,Cierre con PresionP90,Repliegues P90,Presiones AltasP90,%Presion alta del equipo,Rcuperaciones P90,Despejes P90,Intercepciones P90,Entradas P90,%Entradas Ganadas,Regates SufridosP90,DuelsDefPer90,%DuelosDef ganados,Duelos AereosP90,%Duelos Aereos Ganados,Pass%D3,FwdPassPer90,Height,PrefFoot,TopSpeed(km/h),N° Sprint/90,Centros Juego Abierto/90,%Centros Positivos Juego Abierto,1v1/90,1v1%,KeyPassPer90,Conducciones Progresivas/90,GoalsPer90,xG P90,xG Por Tiro,Tiros Totales,Tiros a Puerta,Conversion%,Toques Tercio Rival P90,Toques Area Rival/90,Recuperaciones Campo Rival/90,%TeamPropHighPrsr,Centros Juego Abierto,Centros Positivos%,1v1 Intentados,1v1 Ganados%,Tiros totales,Pases en Ultimo Tercio,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Duracion media posesion (seg),Posesion Min 1-15,Posesion Min 16-30,Posesion Min 31-45,Posesiones Entre 10"",Posesiones Entre 10""-20"",Posesiones Entre 20""-40"",W,D,L,P,GF,GA,GD,PJ casa,PG casa,PP casa,PE casa,PJ afuera,PG afuera,FoulCom,FoulSuf,Yellow,2ndYellow,Red,Offsides,PrsrApp,HighPrsrApp,MedPrsrApp,LowPrsrApp,HighPrsrApp%,PrsrPerOppTouch,HighPrsrPerOppTouch"
TOTAL,,,,,100,1503,45.7%,2182,813,304,9206,50.0%,2371,50.0%,3667,25,12,129,1189,371,-,14.35,459,12,11,23,-,-,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,37.80,22.49,8.38,15.49,45.7%,6.58,47.41,60.5%,24.44,50.0%,75.6%,139.90,,,0.0,0.00,12.72,20.8%,16.31,40.4%,7.97,51.47,1.23,1.18,.097,12.24,3.80,10.0%,131.45,19.80,36.68,-,1234,20.8%,1582,40.4%,1187,6342,55482,37209,79.7%,78.9%,855,82,77.49,119,114.62,875,1187,369,31.1%,23.4,50.0%,50.0%,50.0%,3965,1276,1451,35,24,35,129,119,119,0,50,23,12,12,50,12,1344,1344,219,8,7,147,0,0,0,0,-,0.0%,0.0%

"SplitBy,TRUE,Venue,Venue_Sort,entityKey,GM,Tckl,Tackle%,Clrnce,Int,ShtBlk,Duels,Duel%,Aerials,Aerial%,Recovery,ErrShot,ErrGoal,CrossBlkd,ShotsAg,SOGAg,splitByName,xGCrnrs,Corners,GoalCrnrs,TIRO_LIBRE,Goles de Estrategia,League,ContractEnd,Pie Preferido,Altura,Distancia Total/90,Acc. Altas/90,Distancia SprintP90,Distancia Alta IntensidadP90,Marking de Rivales sin BalonP90,Marking Rivales con BalonP90,Cierre con PresionP90,Repliegues P90,Presiones AltasP90,%Presion alta del equipo,Rcuperaciones P90,Despejes P90,Intercepciones P90,Entradas P90,%Entradas Ganadas,Regates SufridosP90,DuelsDefPer90,%DuelosDef ganados,Duelos AereosP90,%Duelos Aereos Ganados,Pass%D3,FwdPassPer90,Height,PrefFoot,TopSpeed(km/h),N° Sprint/90,Centros Juego Abierto/90,%Centros Positivos Juego Abierto,1v1/90,1v1%,KeyPassPer90,Conducciones Progresivas/90,GoalsPer90,xG P90,xG Por Tiro,Tiros Totales,Tiros a Puerta,Conversion%,Toques Tercio Rival P90,Toques Area Rival/90,Recuperaciones Campo Rival/90,%TeamPropHighPrsr,Centros Juego Abierto,Centros Positivos%,1v1 Intentados,1v1 Ganados%,Tiros totales,Pases en Ultimo Tercio,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Duracion media posesion (seg),Posesion Min 1-15,Posesion Min 16-30,Posesion Min 31-45,Posesiones Entre 10"",Posesiones Entre 10""-20"",Posesiones Entre 20""-40"",W,D,L,P,GF,GA,GD,PJ casa,PG casa,PP casa,PE casa,PJ afuera,PG afuera,FoulCom,FoulSuf,Yellow,2ndYellow,Red,Offsides,PrsrApp,HighPrsrApp,MedPrsrApp,LowPrsrApp,HighPrsrApp%,PrsrPerOppTouch,HighPrsrPerOppTouch"
Home^0,true,Home,0,Home,50,752,48.2%,1058,402,144,4598,50.7%,1183,50.5%,1871,10,7,48,544,171,SplitBy,8.46,246,10,5,15,Primera División RFEF (Spain),-,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,38.58,21.81,8.29,15.51,48.2%,5.94,44.70,62.0%,24.39,50.5%,76.3%,137.71,,,0.0,0.00,14.21,20.5%,17.13,42.0%,8.45,52.85,1.40,1.25,.094,13.28,4.10,10.6%,138.47,20.82,37.22,-,689,20.5%,831,42.0%,644,3239,27854,18641,79.9%,79.1%,459,49,40.81,68,60.76,479,644,199,30.9%,24.4,51.5%,51.4%,48.7%,1931,670,716,23,12,12,81,68,51,17,50,23,12,12,0,0,680,664,97,3,6,77,0,0,0,0,-,0.0%,0.0%
Away^1,true,Away,1,Away,50,751,43.3%,1124,411,160,4608,49.3%,1188,49.4%,1796,15,5,81,645,200,SplitBy,5.89,213,2,6,8,Primera División RFEF (Spain),-,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,37.03,23.18,8.47,15.48,43.3%,7.22,50.12,59.0%,24.49,49.4%,75.0%,142.08,,,0.0,0.00,11.24,21.3%,15.48,38.6%,7.48,50.10,1.05,1.11,.099,11.20,3.51,9.4%,124.43,18.78,36.14,-,545,21.3%,751,38.6%,543,3103,27628,18568,79.4%,78.7%,396,33,36.69,51,53.87,396,543,170,31.3%,22.4,48.5%,48.6%,51.3%,2034,606,735,12,12,23,48,51,68,-17,0,0,0,0,50,12,664,680,122,5,1,70,0,0,0,0,-,0.0%,0.0%
