toques,pasador,receptor,rematador,portero,asistente,bloqueador,shooterId,assisterId,blockerId,receiverId,passerId,toucherId,goalieId,gameId,espnEventId,optaMatchId,eventGuid,gameEventIndex,sequenceId,phaseId,sequenceEventNum,possessionSeqNum,possessionNumInPeriod,Tipo de jugada,Periodo,Reloj del partido,sequenceSeconds,possessionSeconds,eventTeamAbbrevName,teamId,teamImageId,teamFullName,Equipo,teamAbbrevName,teamShortName,newestTeamColor,optaTeamId,Fecha,homeTeam,awayTeam,homeCurrentScore,awayCurrentScore,teamAbbrevName,Equipo,teamId,teamImageId,rival,opponentId,opponentTeamImageId,opponentCurrentScore,teamCurrentScore,homeFinalScore,awayFinalScore,teamFinalScore,opponentFinalScore,numberOfPeriods,periodLength,gameDate,Result,scoreAtTime,xG,xA,DistRemates,reportId
","""","""","""","""","""","""","""","""","""","""","""","""","""",ego01h3xuardzs0cjwlcwvtas,ego01h3xuardzs0cjwlcwvtas,""2652004"",ego01h3xuardzs0cjwlcwvtas:157,""157"","""","""","""","""","""",Challenge,""1"",""502"","""","""",RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",Real Madrid II,Real Madrid II,RM2,Real Madrid II,#0066FF,""3022"",2026-09-12,Águilas,Real Madrid II,""0"",""0"",RM2,RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",AGU,egzh8d35o0fdgv9p2ql5wm7ql,""18832"",""0"",""0"",""1"",""0"",""0"",""1"",""2"",""45"",2026-09-12 11:00:00,L 0-1,0-0,""0,00"",""0,0000"",""0,0"",null-224"
"Diego Aguado,"""","""","""","""","""","""","""","""","""","""","""",4luj0v1ttpt61sniftg4bxrtg,"""",ego01h3xuardzs0cjwlcwvtas,ego01h3xuardzs0cjwlcwvtas,""2652004"",ego01h3xuardzs0cjwlcwvtas:161,""161"","""","""","""","""","""",Interception,""1"",""506"","""","""",RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",Real Madrid II,Real Madrid II,RM2,Real Madrid II,#0066FF,""3022"",2026-09-12,Águilas,Real Madrid II,""0"",""0"",RM2,RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",AGU,egzh8d35o0fdgv9p2ql5wm7ql,""18832"",""0"",""0"",""1"",""0"",""0"",""1"",""2"",""45"",2026-09-12 11:00:00,L 0-1,0-0,""0,00"",""0,0000"",""0,0"",null-224"
"Diego Aguado,"""","""","""","""","""","""","""","""","""","""","""",4luj0v1ttpt61sniftg4bxrtg,"""",ego01h3xuardzs0cjwlcwvtas,ego01h3xuardzs0cjwlcwvtas,""2652004"",ego01h3xuardzs0cjwlcwvtas:172,""172"","""","""","""","""","""",Clearance,""1"",""575"","""","""",RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",Real Madrid II,Real Madrid II,RM2,Real Madrid II,#0066FF,""3022"",2026-09-12,Águilas,Real Madrid II,""0"",""0"",RM2,RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",AGU,egzh8d35o0fdgv9p2ql5wm7ql,""18832"",""0"",""0"",""1"",""0"",""0"",""1"",""2"",""45"",2026-09-12 11:00:00,L 0-1,0-0,""0,00"",""0,0000"",""0,0"",null-224"
"Jesús Fortea,"""","""","""","""","""","""","""","""","""","""","""",8knybibneen7qx8jdg9voh7v8,"""",ego01h3xuardzs0cjwlcwvtas,ego01h3xuardzs0cjwlcwvtas,""2652004"",ego01h3xuardzs0cjwlcwvtas:179,""179"","""","""","""","""","""",Clearance,""1"",""612"","""","""",RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",Real Madrid II,Real Madrid II,RM2,Real Madrid II,#0066FF,""3022"",2026-09-12,Águilas,Real Madrid II,""0"",""0"",RM2,RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",AGU,egzh8d35o0fdgv9p2ql5wm7ql,""18832"",""0"",""0"",""1"",""0"",""0"",""1"",""2"",""45"",2026-09-12 11:00:00,L 0-1,0-0,""0,00"",""0,0000"",""0,0"",null-224"
","""","""","""","""","""","""","""","""","""","""","""","""","""",ego01h3xuardzs0cjwlcwvtas,ego01h3xuardzs0cjwlcwvtas,""2652004"",ego01h3xuardzs0cjwlcwvtas:239,""239"","""","""","""","""","""",Aerial,""1"",""867"","""","""",RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",Real Madrid II,Real Madrid II,RM2,Real Madrid II,#0066FF,""3022"",2026-09-12,Águilas,Real Madrid II,""1"",""0"",RM2,RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",AGU,egzh8d35o0fdgv9p2ql5wm7ql,""18832"",""1"",""0"",""1"",""0"",""0"",""1"",""2"",""45"",2026-09-12 11:00:00,L 0-1,0-1,""0,00"",""0,0000"",""0,0"",null-224"
","""","""","""","""","""","""","""","""","""","""","""","""","""",ego01h3xuardzs0cjwlcwvtas,ego01h3xuardzs0cjwlcwvtas,""2652004"",ego01h3xuardzs0cjwlcwvtas:241,""241"","""","""","""","""","""",Sweeper,""1"",""870"","""","""",RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",Real Madrid II,Real Madrid II,RM2,Real Madrid II,#0066FF,""3022"",2026-09-12,Águilas,Real Madrid II,""1"",""0"",RM2,RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",AGU,egzh8d35o0fdgv9p2ql5wm7ql,""18832"",""1"",""0"",""1"",""0"",""0"",""1"",""2"",""45"",2026-09-12 11:00:00,L 0-1,0-1,""0,00"",""0,0000"",""0,0"",null-224"
"Javi Navarro,"""","""","""","""","""","""","""","""","""","""","""",587fw0wi1ke5kv6tdnyx78xec,"""",ego01h3xuardzs0cjwlcwvtas,ego01h3xuardzs0cjwlcwvtas,""2652004"",ego01h3xuardzs0cjwlcwvtas:242,""242"","""","""","""","""","""",Clearance,""1"",""872"","""","""",RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",Real Madrid II,Real Madrid II,RM2,Real Madrid II,#0066FF,""3022"",2026-09-12,Águilas,Real Madrid II,""1"",""0"",RM2,RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",AGU,egzh8d35o0fdgv9p2ql5wm7ql,""18832"",""1"",""0"",""1"",""0"",""0"",""1"",""2"",""45"",2026-09-12 11:00:00,L 0-1,0-1,""0,00"",""0,0000"",""0,0"",null-224"
","""","""","""","""","""","""","""","""","""","""","""","""","""",ego01h3xuardzs0cjwlcwvtas,ego01h3xuardzs0cjwlcwvtas,""2652004"",ego01h3xuardzs0cjwlcwvtas:247,""247"","""","""","""","""","""",Aerial,""1"",""890"","""","""",RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",Real Madrid II,Real Madrid II,RM2,Real Madrid II,#0066FF,""3022"",2026-09-12,Águilas,Real Madrid II,""1"",""0"",RM2,RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",AGU,egzh8d35o0fdgv9p2ql5wm7ql,""18832"",""1"",""0"",""1"",""0"",""0"",""1"",""2"",""45"",2026-09-12 11:00:00,L 0-1,0-1,""0,00"",""0,0000"",""0,0"",null-224"
","""","""","""","""","""","""","""","""","""","""","""","""","""",ego01h3xuardzs0cjwlcwvtas,ego01h3xuardzs0cjwlcwvtas,""2652004"",ego01h3xuardzs0cjwlcwvtas:250,""250"","""","""","""","""","""",Challenge,""1"",""896"","""","""",RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",Real Madrid II,Real Madrid II,RM2,Real Madrid II,#0066FF,""3022"",2026-09-12,Águilas,Real Madrid II,""1"",""0"",RM2,RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",AGU,egzh8d35o0fdgv9p2ql5wm7ql,""18832"",""1"",""0"",""1"",""0"",""0"",""1"",""2"",""45"",2026-09-12 11:00:00,L 0-1,0-1,""0,00"",""0,0000"",""0,0"",null-224"
"Mario Rivas,"""","""","""","""","""","""","""","""","""","""","""",974pgl5fo69ks8qsv1oorx8us,"""",ego01h3xuardzs0cjwlcwvtas,ego01h3xuardzs0cjwlcwvtas,""2652004"",ego01h3xuardzs0cjwlcwvtas:252,""252"","""","""","""","""","""",Save,""1"",""899"","""","""",RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",Real Madrid II,Real Madrid II,RM2,Real Madrid II,#0066FF,""3022"",2026-09-12,Águilas,Real Madrid II,""1"",""0"",RM2,RM2,3kibouup3gxwnnxp3vhz83af7,""3022"",AGU,egzh8d35o0fdgv9p2ql5wm7ql,""18832"",""1"",""0"",""1"",""0"",""0"",""1"",""2"",""45"",2026-09-12 11:00:00,L 0-1,0-1,""0,00"",""0,0000"",""0,0"",null-224"
