Season,GM,Tckl,Tackle%,Clrnce,Int,ShtBlk,Duels,Duel%,Aerials,Aerial%,Recovery,ErrShot,ErrGoal,CrossBlkd,ShotsAg,SOGAg
TOTAL,3,51,47.7%,66,18,10,294,53.1%,62,45.2%,103,0,0,3,27,4

Season,GM,Tckl,Tackle%,Clrnce,Int,ShtBlk,Duels,Duel%,Aerials,Aerial%,Recovery,ErrShot,ErrGoal,CrossBlkd,ShotsAg,SOGAg
Primera División RFEF 2026/2027 (Spain),3,51,47.7%,66,18,10,294,53.1%,62,45.2%,103,0,0,3,27,4
